iter	Passed	Remaining
0	0	98
1	1	89
2	3	101
3	4	101
4	5	105
5	6	106
6	7	103
7	8	101
8	9	100
9	11	100
10	12	100
11	13	100
12	14	98
13	15	98
14	17	97
15	18	96
16	19	95
17	20	94
18	21	93
19	23	92
20	24	91
21	25	90
22	26	88
23	27	87
24	28	85
25	29	84
26	30	82
27	31	80
28	32	79
29	33	77
30	34	75
31	34	74
32	35	72
33	36	71
34	37	69
35	38	68
36	39	66
37	39	65
38	40	63
39	41	62
40	42	60
41	42	58
42	43	57
43	43	55
44	44	54
45	45	53
46	46	52
47	47	51
48	47	49
49	48	48
50	49	47
51	50	46
52	50	45
53	51	44
54	52	42
55	52	41
56	53	40
57	54	39
58	55	38
59	55	37
60	56	36
61	57	35
62	58	34
63	59	33
64	60	32
65	61	31
66	61	30
67	62	29
68	63	28
69	64	27
70	65	26
71	66	25
72	67	24
73	68	23
74	68	22
75	69	22
76	70	21
77	71	20
78	72	19
79	73	18
80	74	17
81	75	16
82	76	15
83	77	14
84	77	13
85	78	12
86	79	11
87	80	10
88	81	10
89	82	9
90	83	8
91	84	7
92	85	6
93	86	5
94	87	4
95	88	3
96	89	2
97	90	1
98	91	0
99	92	0
